# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00800 2.51e+07 1.5613635778    1.561  0.875  3.9217  4.396    0  0.000  0.538     0.00     0.00 -1   9.4e-14      0.00 7.293e-01 2.627e-01 1.418e-03 3.872e-04 3.517e-03 -1.000 8.000e-03 2.583 2.753 2.741 2.592 2.517 2.452 2.383 2.336 2.330
0.00800 2.51e+07 1.6090908051    1.609  0.930  3.9341  4.403    0  0.000  0.538     0.00     0.00 -1  6.74e-14      0.00 7.293e-01 2.627e-01 1.418e-03 3.872e-04 3.517e-03 -1.000 8.000e-03 2.444 2.609 2.589 2.472 2.418 2.372 2.323 2.291 2.285
0.00800 2.51e+07 1.6568181515    1.657  0.985  3.9460  4.409    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.293e-01 2.627e-01 1.418e-03 3.871e-04 3.517e-03 -1.000 7.993e-03 2.309 2.471 2.454 2.364 2.328 2.296 2.266 2.245 2.241
0.00800 2.51e+07 1.7045452595    1.704  1.036  3.9572  4.414    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.418e-03 3.872e-04 3.516e-03 -1.000 7.998e-03 2.181 2.341 2.335 2.268 2.246 2.227 2.212 2.200 2.198
0.00800 2.51e+07 1.7522726059    1.752  1.086  3.9678  4.419    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.418e-03 3.872e-04 3.516e-03 -1.000 7.999e-03 2.056 2.216 2.228 2.180 2.169 2.161 2.160 2.155 2.155
0.00800 2.51e+07 1.7999999523    1.799  1.134  3.9779  4.423    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.418e-03 3.871e-04 3.516e-03 -1.000 7.984e-03 1.936 2.098 2.129 2.098 2.096 2.097 2.109 2.110 2.112
0.00800 2.51e+07 1.8500000238    1.849  1.181  3.9878  4.427    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.418e-03 3.871e-04 3.516e-03 -1.000 7.983e-03 1.816 1.983 2.035 2.020 2.024 2.034 2.058 2.064 2.068
0.00800 2.51e+07 1.8999999762    1.900  1.228  3.9972  4.430    0  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.418e-03 3.871e-04 3.516e-03 -1.000 8.000e-03 1.701 1.872 1.948 1.947 1.957 1.973 2.007 2.018 2.025
0.00800 2.51e+07 1.9500000477    1.950  1.273  4.0062  4.432    0  0.000  0.537     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.417e-03 3.871e-04 3.516e-03 -1.000 7.991e-03 1.587 1.763 1.864 1.876 1.891 1.912 1.957 1.972 1.980
0.00800 2.51e+07 2.0000000000    2.001  1.316  4.0147  4.434    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.294e-01 2.626e-01 1.418e-03 3.871e-04 3.516e-03 -1.000 7.970e-03 1.479 1.660 1.786 1.808 1.827 1.853 1.907 1.926 1.936
0.00800 2.51e+07 2.0499999523    2.050  1.359  4.0230  4.435    1  0.000  0.538     0.00     0.00 -1         0      0.00 7.295e-01 2.626e-01 1.417e-03 3.870e-04 3.515e-03 -1.000 7.950e-03 1.373 1.561 1.712 1.743 1.766 1.796 1.859 1.880 1.894
